#label	score
PTPN21	NaN
PIK3AP1	NaN
TLR6	NaN
SH3BP5	1.73624
BRIP1	NaN
BRCC3	NaN
BAP1	NaN
AKAP8	4.28555
WDR68	NaN
RPL11	NaN
TM2D1	NaN
PDIA4	NaN
HDAC7A	NaN
BFAR	NaN
ITM2B	NaN
HRK	NaN
BBC3	NaN
LILRB1	NaN
CD1A	NaN
TNFSF8	NaN
DCLRE1C	NaN
CDCA1	NaN
NECAP2	NaN
FAM46C	NaN
EXOC5	NaN
ELMO1	NaN
SPRED2	NaN
DOCK7	NaN
PLEKHG2	NaN
GMIP	NaN
ARHGEF3	NaN
DAAM1	NaN
AKAP13	NaN
VAV3	NaN
PITPNM1	NaN
TRIO	NaN
C4orf14	NaN
ARHGAP21	NaN
TMED10	NaN
PNRC1	NaN
IARS	NaN
ETV5	NaN
FAIM2	NaN
RAPGEF6	NaN
MAP3K7IP2	NaN
FCGR3B	NaN
RIN3	NaN
ADAM19	NaN
TGFBI	1.71349
TUBB	NaN
KIAA1212	NaN
DLC1	NaN
PPM1A	NaN
MTCP1	NaN
DNER	NaN
AFTIPHILIN	NaN
WDR61	NaN
IQWD1	NaN
FANCL	NaN
DNAJC6	NaN
SAG	NaN
SWAP70	NaN
PALLD	NaN
PPP1R9B	NaN
SYNE2	NaN
PTK9	NaN
TMSB4Y	NaN
PTPRO	NaN
CPNE4	NaN
SSH2	NaN
CORO1A	NaN
WASF3	NaN
MYO1E	NaN
USP6NL	NaN
KIF23	NaN
HIP1R	NaN
DNASE1	NaN
ADSS	NaN
LAMA1	NaN
DOK3	NaN
PAG1	NaN
PTPN18	NaN
ST5	NaN
ALDH5A1	NaN
CTRL	NaN
UBE2V1	NaN
GMPS	NaN
SPINT2	NaN
ACO2	NaN
NT5E	NaN
ITGA8	NaN
ARL8B	NaN
YTHDC1	NaN
APOBEC3G	NaN
SNF1LK2	NaN
ZNF403	NaN
CSRP3	NaN
TAF15	NaN
DCP2	NaN
DEDD	NaN
RIPK3	0.500314
SYT9	NaN
