#nodeA	nodeB
ARHGAP1	WAS
ARHGAP1	TAX1BP1
RND3	ROCK1
ACTL6A	EWSR1
ACTL6A	MYC
ACTL6A	RELA
ACTL6A	SMARCA2
ACTL6A	TRRAP
RHOB	ARHGEF3
ARHGDIB	RHOH
ARHGDIB	CASP3
ARHGDIB	CDC42
ARHGDIB	RAC1
ARHGDIB	RAC2
ARHGDIB	VAV1
ARHGDIB	VIL2
ARNT	CSNK2A1
ARNT	EP300
ARNT	GTF2F2
ARNT	HIF1A
ARNT	PML
ARNT	NCOA1
ARNT	NCOR2
ARNT	NCOA2
ARR3	CLTC
ARR3	CSNK2A1
ARR3	DVL2
ARR3	PTAFR
AP2B1	ATM
AP2B1	BUB1
AP2B1	BUB1B
AP2B1	SMAD4
AP2B1	MLH1
AP2B1	TGFBR2
AP2B1	ENTH
AP2B1	POM121
AP2B1	RIBC2
AP2B1	FAM46C
AP2B1	THAP1
AP2B1	NECAP2
ATF1	BRCA1
ATF1	CAMK2G
ATF1	CREB1
ATF1	CREBBP
ATF1	CREM
ATF1	CSNK2A1
ATF1	CSNK2A2
ATF1	GABPB2
ATF1	JUN
ATF1	SPI1
ATF1	CAMK1
ATF1	RPS6KA5
ATF3	DDIT3
ATF3	FGFR3
ATF3	JUN
ATF3	JUND
ATF3	SMAD3
ATF3	NFKB1
ATF3	TP53
ATF3	CDCA1
ATM	BRCA1
ATM	CHEK1
ATM	E2F1
ATM	H2AFX
ATM	MDM2
ATM	MDM4
ATM	MRE11A
ATM	NBN
ATM	PRKDC
ATM	RAD9A
ATM	RAD17
ATM	RAD51
ATM	STK11
ATM	TP53
ATM	TP53BP1
ATM	WRN
ATM	XPA
ATM	XRCC5
ATM	SMC1L1
ATM	TOPBP1
ATM	DCLRE1C
ATP1A1	MAPK3
ARRB2	C5AR1
ARRB2	CLTC
ARRB2	CSNK2A1
ARRB2	CSNK2A2
ARRB2	DVL2
ARRB2	FLNA
ARRB2	MDM2
ARRB2	MAP3K5
ARRB2	NFKBIA
ARRB2	MAPK1
ARRB2	MAPK10
ARRB2	PTAFR
ARRB2	RAF1
ARRB2	RALGDS
ARRB2	SLC9A5
ARRB2	SMARCC2
ARRB2	TGFBR3
ARRB2	CXCR4
ARRB2	HIPK3
AXL	GAS6
AXL	GRB2
AXL	IL2RG
AXL	IL15RA
AXL	LCK
AXL	PIK3R1
AXL	PIK3R2
AXL	PTPN11
AXL	SHC1
AXL	PIK3R3
AXL	SOCS1
AXL	RANBP9
AXL	ADAM10
ADAM10	EFNA1
ADAM10	TGFA
ADAM10	DLL1
B2M	CALR
B2M	CD1A
B2M	CD1B
B2M	CD1D
B2M	CD8A
B2M	FCGRT
B2M	LILRB1
BAK1	BCL2
BAK1	BCL2A1
BAK1	BCL2L1
BAK1	MCL1
BCL2	BCL2L1
BCL2	BLK
BCL2	BNIP1
BCL2	BNIP2
BCL2	BNIP3
BCL2	BNIP3L
BCL2	CASP3
BCL2	CASP8
BCL2	CDK2
BCL2	MAPK14
BCL2	NR4A1
BCL2	HRAS
BCL2	ITPR1
BCL2	KRAS
BCL2	PMAIP1
BCL2	PPP1CA
BCL2	PPP2CA
BCL2	PPP2R5A
BCL2	PPP3CA
BCL2	PRKACA
BCL2	PRKCA
BCL2	MAPK1
BCL2	MAPK3
BCL2	MAPK8
BCL2	MAPK11
BCL2	PSEN1
BCL2	RAD9A
BCL2	RAF1
BCL2	SMN1
BCL2	SOD1
BCL2	TP53
BCL2	TP53BP2
BCL2	SF1
BCL2	HRK
BCL2	PKMYT1
BCL2	ITM2B
BCL2	BAG3
BCL2	BCLAF1
BCL2	BCL2L11
BCL2	BBC3
BCL2	BFAR
BCL2	CYCS
BCL2	RTN4
BCL2	BMF
BCL2	BAG1
BCL2	BAD
BAG1	BCL2L1
BAG1	NR3C1
BAG1	MET
BAG1	PDGFRB
BAG1	RAF1
BAG1	RARA
BAG1	RB1
BAG1	SIAH1
BAG1	VDR
BAG1	PPP1R15A
BAD	BCL2A1
BAD	BCL2L1
BAD	EWSR1
BAD	SFN
BAD	MCL1
BAD	PAK1
BAD	PIM1
BAD	PPP1CA
BAD	PPP3CA
BAD	PRKACA
BAD	MAPK8
BAD	MAP2K5
BAD	RAF1
BAD	RPS6KA1
BAD	RPS6KA2
BAD	RPS6KA3
BAD	YWHAE
BAD	HRK
BAD	RPS6KA5
BCL2L1	BNIP1
BCL2L1	BNIP3
BCL2L1	BNIP3L
BCL2L1	CASP1
BCL2L1	CASP8
BCL2L1	CASP9
BCL2L1	IRS1
BCL2L1	PMAIP1
BCL2L1	PPP1CA
BCL2L1	MAPK8
BCL2L1	PSEN1
BCL2L1	PSEN2
BCL2L1	RAD9A
BCL2L1	TP53
BCL2L1	IRS2
BCL2L1	HRK
BCL2L1	CFLAR
BCL2L1	BCLAF1
BCL2L1	BCL2L11
BCL2L1	BBC3
BCL2L1	CYCS
BCL2L1	RTN4
BCL2L1	BMF
BCL6	EP300
BCL6	IRF4
BCL6	JUN
BCL6	JUNB
BCL6	JUND
BCL6	MAPK1
BCL6	SP1
BCL6	ZBTB16
BCL6	NCOR1
BCL6	NCOR2
BCL6	HDAC9
BCL6	SIN3A
BCL6	HDAC7A
BCR	BLK
BCR	ERCC3
BCR	FES
BCR	SFN
BCR	GRB2
BCR	HCK
BCR	IRS1
BCR	JAK2
BCR	PTPN1
BCR	PTPN6
BCR	PTPN11
BCR	RASA1
BCR	SHC1
BCR	TP53
BCR	VAV1
BCR	YWHAE
CEACAM1	FLNA
CEACAM1	INSR
CEACAM1	MAP3K10
CEACAM1	PTPN6
CEACAM1	PTPN11
CEACAM1	SHC1
BCL2A1	BOK
BCL2A1	GRB2
BCL2A1	PMAIP1
BCL2A1	HRK
BCL2A1	BBC3
BLMH	RPL11
BLMH	TRIO
BLR1	CXCL13
PCGF4	PHC2
PCGF4	MLL
PCGF4	PTN
PCGF4	ZBTB16
BMP7	BMPR1A
BMP7	ENG
BMP7	NCOA3
BMP6	BMPR1A
BMP6	SMAD5
BMP6	NCOA3
BMPR1A	SMAD1
BMPR1A	MAP3K7IP1
BNIP1	NCBP1
BNIP2	CDC42
BNIP2	FGFR1
BNIP3	BNIP3L
BNIP3	CD47
BNIP3	NCBP1
BNIP3	TMEM11
BNIP3L	EWSR1
BNIP3L	TMEM11
CCND1	BRCA1
CCND1	CALM1
CCND1	RUNX1
CCND1	CDK4
CCND1	CDK6
CCND1	CDKN1A
CCND1	CDKN1B
CCND1	CTNNB1
CCND1	EP300
CCND1	GSK3B
CCND1	MYBL2
CCND1	PCNA
CCND1	PRKACA
CCND1	RB1
CCND1	RBL1
CCND1	RBL2
CCND1	SP1
CCND1	STAT3
CCND1	NCOA3
CCND1	NCOA1
CCND1	HDAC3
CCND1	PCAF
CCND1	RBX1
CCND1	DMTF1
CCND1	AKAP8
BRCA1	BRCA2
BRCA1	CASP3
BRCA1	CCNA2
BRCA1	CCNB1
BRCA1	CDC2
BRCA1	CDK2
BRCA1	CDK4
BRCA1	CDK7
BRCA1	CREBBP
BRCA1	CSNK2A1
BRCA1	DHX9
BRCA1	E2F1
BRCA1	ELK1
